User_ID,Age,Gender,Total_App_Usage_Hours,Daily_Screen_Time_Hours,Number_of_Apps_Used,Social_Media_Usage_Hours,Productivity_App_Usage_Hours,Gaming_App_Usage_Hours,Location,Overlap Indicator,range_age,Social Ratio,Gaming Ratio,Productivity Ratio,User Type
77,42,Male,7.47,2.5,28,2.87,2.73,2,New York,1,36-45,0.384203481,0.267737617,0.365461847,Social User
78,58,Male,1.32,3.01,7,1.96,1.02,4.74,New York,0,46+,1.484848485,3.590909091,0.772727273,Gamer
79,46,Female,5.35,3.23,18,0.14,1.46,2.03,Phoenix,1,46+,0.026168224,0.379439252,0.272897196,Gamer
80,32,Male,7.67,9.29,15,2.92,3.74,3.86,Houston,0,26-35,0.380704042,0.503259452,0.487614081,Gamer
81,18,Male,7.57,10.63,9,0.06,2.41,2.42,New York,0,18-25,0.007926024,0.319682959,0.318361955,Gamer
82,42,Female,9.72,7.89,28,3.94,1.08,4.49,New York,1,36-45,0.405349794,0.461934156,0.111111111,Gamer
83,24,Male,8.21,11.78,22,1.53,4.84,4.54,Phoenix,0,18-25,0.1863581,0.552984166,0.58952497,Productivity User
84,26,Male,11.91,13.89,19,0.2,3.58,0.44,Chicago,0,26-35,0.016792611,0.036943745,0.300587741,Productivity User
85,41,Male,4.12,11.66,5,2.94,4.79,4.68,Los Angeles,0,36-45,0.713592233,1.13592233,1.162621359,Productivity User
86,18,Male,4.95,10.03,7,1.99,2.14,4.13,New York,0,18-25,0.402020202,0.834343434,0.432323232,Gamer
87,25,Male,5.22,7.92,21,4.87,2.38,3.96,Chicago,0,18-25,0.932950192,0.75862069,0.455938697,Social User
88,41,Male,6.12,6.84,14,2.72,4.49,1,Houston,0,36-45,0.444444444,0.163398693,0.733660131,Productivity User
89,28,Female,10.2,2.1,29,1.38,2.63,4.03,Chicago,1,26-35,0.135294118,0.395098039,0.257843137,Gamer
90,34,Female,3.59,6.19,9,3.55,3.54,4.25,Phoenix,0,26-35,0.988857939,1.183844011,0.986072423,Gamer
91,25,Male,9.54,12.83,11,1.36,1.26,1.45,Houston,0,18-25,0.142557652,0.151991614,0.132075472,Gamer
92,52,Male,5.46,11.5,8,4.52,2.23,4.76,Houston,0,46+,0.827838828,0.871794872,0.408424908,Gamer
93,52,Female,7.62,3.81,28,1.87,0.62,0.25,Chicago,1,46+,0.245406824,0.032808399,0.081364829,Social User
94,50,Male,7.96,7.07,19,2.75,1.03,0.75,Phoenix,1,46+,0.345477387,0.094221106,0.129396985,Social User
95,22,Male,5.1,11.62,18,0.25,0,2.69,New York,0,18-25,0.049019608,0.52745098,0,Gamer
96,59,Male,6.64,1.88,25,2.13,0.2,2.88,Chicago,1,46+,0.320783133,0.43373494,0.030120482,Gamer
97,56,Female,5.54,6.04,5,4.16,4.89,3.23,New York,0,46+,0.750902527,0.583032491,0.88267148,Productivity User
98,58,Male,1.76,12.07,23,4.03,1.21,0.08,Chicago,0,46+,2.289772727,0.045454545,0.6875,Social User
99,45,Female,5.81,6.25,28,1.12,3.32,4.8,New York,0,36-45,0.192771084,0.82616179,0.571428571,Gamer
100,24,Male,2.07,2.01,6,1.13,4.2,0.22,Chicago,1,18-25,0.54589372,0.106280193,2.028985507,Productivity User
101,26,Female,5.46,8.05,12,4.09,2.75,0.72,Houston,0,26-35,0.749084249,0.131868132,0.503663004,Social User
102,25,Female,7.52,12.2,7,4.65,0.77,0.07,Los Angeles,0,18-25,0.618351064,0.009308511,0.102393617,Social User
103,29,Male,7.37,8.67,23,0.48,3.64,2.83,Houston,0,26-35,0.065128901,0.383989145,0.493894166,Productivity User
104,51,Female,8.29,3.94,24,2.25,3,4.66,New York,1,46+,0.271411339,0.56212304,0.361881785,Gamer
105,50,Male,2.05,6,12,1.69,3.66,3.33,Phoenix,0,46+,0.824390244,1.624390244,1.785365854,Productivity User
106,40,Female,8.17,6.85,14,4.35,3.85,4.11,Houston,1,36-45,0.532435741,0.503059976,0.47123623,Social User
107,41,Male,4.43,8.53,12,0.42,4.88,0.07,Los Angeles,0,36-45,0.094808126,0.015801354,1.101580135,Productivity User
108,54,Male,5.39,10.87,15,1.06,2.87,2.71,New York,0,46+,0.196660482,0.502782931,0.532467532,Productivity User
109,52,Female,10.44,2.29,13,3.76,1.71,2.3,Houston,1,46+,0.360153257,0.220306513,0.163793103,Social User
110,57,Male,1.1,12.57,24,0.26,3.24,2.49,Chicago,0,46+,0.236363636,2.263636364,2.945454545,Productivity User
111,39,Male,7.47,1.16,18,2.46,0.34,0.36,Phoenix,1,36-45,0.329317269,0.048192771,0.045515395,Social User
112,44,Female,7.59,5.81,10,2.21,4.49,3.42,New York,1,36-45,0.291172596,0.450592885,0.591567852,Productivity User
113,52,Male,5.36,1.36,10,1.67,0.6,2.52,Houston,1,46+,0.311567164,0.470149254,0.111940299,Gamer
114,18,Male,3.61,6.11,29,1.97,1.64,3.83,New York,0,18-25,0.545706371,1.060941828,0.454293629,Gamer
115,52,Female,3.58,7.84,27,2.65,4.08,2.43,Chicago,0,46+,0.740223464,0.67877095,1.139664804,Productivity User
116,54,Female,10.72,7.65,10,0.81,2.99,0.75,Los Angeles,1,46+,0.075559701,0.069962687,0.27891791,Productivity User
117,31,Male,5.86,3.15,15,2.86,1.97,3.24,Houston,1,26-35,0.488054608,0.552901024,0.336177474,Gamer
118,20,Male,4.64,9.39,29,4.03,2.37,0.86,New York,0,18-25,0.868534483,0.185344828,0.510775862,Social User
119,18,Female,5.94,1.58,4,3.8,4.27,4.36,New York,1,18-25,0.63973064,0.734006734,0.718855219,Gamer
120,22,Female,8.36,10.9,14,0.77,1.7,3.07,New York,0,18-25,0.092105263,0.36722488,0.203349282,Gamer
121,43,Male,2.6,13.31,12,0.75,4.35,0.79,Los Angeles,0,36-45,0.288461538,0.303846154,1.673076923,Productivity User
122,31,Female,5.94,5.42,14,1.34,0.44,4.81,New York,1,26-35,0.225589226,0.80976431,0.074074074,Gamer
123,56,Male,7.47,7.72,13,1.81,3.88,2.59,Phoenix,0,46+,0.242302544,0.346720214,0.519410977,Productivity User
124,44,Male,11.43,5.93,17,2.04,4.24,0.36,Phoenix,1,36-45,0.17847769,0.031496063,0.370953631,Productivity User
125,26,Male,3.78,1.09,18,3.4,0.91,3.13,New York,1,26-35,0.899470899,0.828042328,0.240740741,Social User
126,32,Male,4.95,6.02,19,0.28,2.15,1.27,Phoenix,0,26-35,0.056565657,0.256565657,0.434343434,Productivity User
127,32,Male,5.17,11.29,28,0.17,0.83,4.02,Houston,0,26-35,0.032882012,0.777562863,0.160541586,Gamer
128,43,Female,7.66,8.75,4,1.96,3.53,4.09,Phoenix,0,36-45,0.255874674,0.533942559,0.460835509,Gamer
129,59,Female,4.92,2.32,20,3.49,2.68,4.89,New York,1,46+,0.709349593,0.993902439,0.544715447,Gamer
130,30,Female,6.87,12.01,14,0.97,3.18,2.51,Chicago,0,26-35,0.141193595,0.365356623,0.462882096,Productivity User
131,49,Female,9.6,7.9,21,3.21,0.98,2.27,Houston,1,46+,0.334375,0.236458333,0.102083333,Social User
132,56,Male,8.76,11.94,28,1.3,1.06,3.77,Los Angeles,0,46+,0.148401826,0.430365297,0.121004566,Gamer
133,49,Male,5.91,8.54,25,4.43,0.21,0.66,New York,0,46+,0.749576988,0.111675127,0.035532995,Social User
134,21,Male,10.51,8.28,20,4.48,1.61,2.73,Los Angeles,1,18-25,0.426260704,0.259752617,0.153187441,Social User
135,47,Male,7.14,2.37,19,1.49,2.8,2.73,Chicago,1,46+,0.208683473,0.382352941,0.392156863,Productivity User
136,54,Female,6.94,3.18,8,1.15,4.29,0.45,Los Angeles,1,46+,0.165706052,0.064841499,0.61815562,Productivity User
137,40,Male,1.38,13.64,27,2.06,3.33,2.09,New York,0,36-45,1.492753623,1.514492754,2.413043478,Productivity User
138,56,Male,11.85,3.97,17,1.2,2.18,4.27,New York,1,46+,0.101265823,0.360337553,0.183966245,Gamer
139,32,Female,2.35,13.71,5,3.36,4.77,4.28,Chicago,0,26-35,1.429787234,1.821276596,2.029787234,Productivity User
140,46,Female,3.54,7.91,8,4.13,3.6,0.5,New York,0,46+,1.166666667,0.141242938,1.016949153,Social User
141,53,Female,1.57,2.77,5,3.37,4.65,0.45,Chicago,0,46+,2.146496815,0.286624204,2.961783439,Productivity User
142,30,Female,8.04,2.29,3,4.12,2.64,1.31,Chicago,1,26-35,0.512437811,0.162935323,0.328358209,Social User
143,49,Male,3.47,3.72,15,1.98,1.29,4.37,New York,0,46+,0.570605187,1.259365994,0.371757925,Gamer
144,24,Male,2.98,13.03,23,0.78,0.26,0.64,Phoenix,0,18-25,0.261744966,0.214765101,0.087248322,Social User
145,39,Female,1.97,6.38,28,3.69,3.63,3.6,Chicago,0,36-45,1.873096447,1.827411168,1.842639594,Social User
146,45,Male,2.14,6.14,16,1.8,0.61,0.51,New York,0,36-45,0.841121495,0.238317757,0.285046729,Social User
147,19,Male,7.43,5.07,15,3.36,1.51,3.12,Phoenix,1,18-25,0.452220727,0.419919246,0.203230148,Social User
148,59,Male,8.57,2.91,29,1.35,2.66,1.78,Chicago,1,46+,0.157526254,0.207701284,0.310385064,Productivity User
149,23,Female,5.37,7.34,6,0.41,2.82,3.94,Phoenix,0,18-25,0.076350093,0.733705773,0.525139665,Gamer
150,45,Male,6.28,2.69,9,4.96,3,1.17,Houston,1,36-45,0.789808917,0.186305732,0.477707006,Social User
151,45,Female,8.55,11.86,24,0.78,0.83,3.2,Houston,0,36-45,0.09122807,0.374269006,0.097076023,Gamer
152,37,Male,1.19,5.82,12,4.94,1.9,1.18,Phoenix,0,36-45,4.151260504,0.991596639,1.596638655,Social User
153,47,Male,4.55,5.87,9,4.89,3.09,3.57,Chicago,0,46+,1.074725275,0.784615385,0.679120879,Social User
154,28,Male,11.7,7.16,23,3.97,4.85,4.37,New York,1,26-35,0.339316239,0.373504274,0.414529915,Productivity User
155,45,Female,7.38,6.77,17,3.3,3.64,0.63,Los Angeles,1,36-45,0.447154472,0.085365854,0.493224932,Productivity User
156,42,Male,3.8,13.93,17,2.89,4.61,4.33,New York,0,36-45,0.760526316,1.139473684,1.213157895,Productivity User
157,56,Female,6.74,8.09,6,4.33,3.81,2.97,Los Angeles,0,46+,0.642433234,0.440652819,0.565281899,Social User
158,50,Female,4.77,2.15,25,1.45,2.96,0.64,Los Angeles,1,46+,0.303983229,0.134171908,0.620545073,Productivity User
159,18,Female,6.85,8.89,25,2.34,0.96,2.14,Chicago,0,18-25,0.341605839,0.312408759,0.140145985,Social User
160,44,Male,2.38,2.97,8,3.1,3.33,0.8,Phoenix,0,36-45,1.302521008,0.336134454,1.399159664,Productivity User
161,30,Male,2.46,1.4,26,2.06,3.12,3.5,New York,1,26-35,0.837398374,1.422764228,1.268292683,Gamer
162,58,Male,2.58,13.62,22,2.14,3.01,3.79,Phoenix,0,46+,0.829457364,1.468992248,1.166666667,Gamer
163,20,Male,11.34,11.06,28,1.65,2.45,0.53,Houston,1,18-25,0.145502646,0.046737213,0.216049383,Productivity User
164,56,Female,9.06,13.74,7,2.82,2.64,2.53,Chicago,0,46+,0.311258278,0.279249448,0.291390728,Social User
165,23,Female,2.79,7.21,22,4.25,1.67,4.07,Chicago,0,18-25,1.523297491,1.458781362,0.598566308,Social User
166,25,Female,3.07,7.92,14,1.01,2.6,4.68,Houston,0,18-25,0.328990228,1.524429967,0.846905537,Gamer
167,44,Male,9.04,3.19,3,4.67,0.99,2.57,New York,1,36-45,0.51659292,0.284292035,0.109513274,Social User
168,26,Female,2.72,4.21,10,3.45,4.03,4.75,Houston,0,26-35,1.268382353,1.746323529,1.481617647,Gamer
169,54,Male,3.58,11.9,3,4.12,0.93,2.68,New York,0,46+,1.150837989,0.748603352,0.259776536,Social User
170,50,Female,11.6,5.63,7,2.78,0.42,1.97,Los Angeles,1,46+,0.239655172,0.169827586,0.036206897,Social User
171,59,Male,3.81,11.75,24,3.9,2.18,4.24,Chicago,0,46+,1.023622047,1.112860892,0.572178478,Gamer
172,41,Male,8.28,10.22,8,0.08,3.29,2.46,New York,0,36-45,0.009661836,0.297101449,0.397342995,Productivity User
173,32,Female,11.76,3.3,23,4.09,2.19,2.36,Phoenix,1,26-35,0.347789116,0.200680272,0.18622449,Social User
174,49,Female,5.12,7.6,5,0.2,1.38,2.45,Phoenix,0,46+,0.0390625,0.478515625,0.26953125,Gamer
175,49,Female,1.19,9.81,17,4.45,2.79,4.23,Chicago,0,46+,3.739495798,3.554621849,2.344537815,Social User
176,41,Female,3.69,4.06,7,4.96,1.74,4.16,Houston,0,36-45,1.344173442,1.127371274,0.471544715,Social User
177,58,Male,10.14,11.8,26,1.47,4.66,2.02,Houston,0,46+,0.144970414,0.199211045,0.459566075,Productivity User
178,29,Female,10.51,8.08,16,1.05,4.61,1.67,New York,1,26-35,0.099904853,0.158896289,0.438629876,Productivity User
179,56,Female,9.45,3.15,20,3.83,2.51,2.46,Houston,1,46+,0.405291005,0.26031746,0.265608466,Social User
180,19,Female,2.24,8.58,18,1.27,1.64,2.86,Chicago,0,18-25,0.566964286,1.276785714,0.732142857,Gamer
181,20,Male,9.75,14,8,4.33,3.69,1.19,New York,0,18-25,0.444102564,0.122051282,0.378461538,Social User
182,54,Male,11.11,2.96,27,0.51,0.18,3.97,Los Angeles,1,46+,0.04590459,0.357335734,0.01620162,Gamer
183,34,Female,7.61,11.62,26,0.63,2.37,2.43,Houston,0,26-35,0.082785808,0.319316689,0.311432326,Gamer
184,19,Male,11.35,3.7,16,4.9,1.68,1.67,Houston,1,18-25,0.431718062,0.147136564,0.148017621,Social User
185,19,Female,10.1,11.17,29,3.37,4.6,0.53,New York,0,18-25,0.333663366,0.052475248,0.455445545,Productivity User
186,45,Male,8.34,10.55,26,4.23,0.06,1.19,Phoenix,0,36-45,0.507194245,0.142685851,0.007194245,Social User
187,40,Male,7.35,4.91,10,1.62,2.76,4.75,Houston,1,36-45,0.220408163,0.646258503,0.375510204,Gamer
188,54,Male,4.83,5.24,9,3.38,3.7,1.53,Chicago,0,46+,0.699792961,0.316770186,0.766045549,Productivity User
189,49,Male,2.75,11.3,10,2.97,2.43,0.84,Houston,0,46+,1.08,0.305454545,0.883636364,Social User
190,50,Female,7.65,7,15,3.02,0.43,2.3,Los Angeles,1,46+,0.394771242,0.300653595,0.05620915,Social User
191,18,Female,4.5,10.5,8,3.41,4.86,1.54,Houston,0,18-25,0.757777778,0.342222222,1.08,Productivity User
192,36,Female,10.53,2.92,20,2.88,2.59,0.18,Phoenix,1,36-45,0.273504274,0.017094017,0.245963913,Social User
193,19,Male,11.93,12.08,4,2.15,3.07,1.62,Houston,0,18-25,0.180217938,0.135792121,0.257334451,Productivity User
194,43,Female,9.28,10.24,10,1.38,1.18,2.72,New York,0,36-45,0.148706897,0.293103448,0.127155172,Gamer
195,49,Female,2,12.79,13,3.84,2.42,2.76,Houston,0,46+,1.92,1.38,1.21,Social User
196,23,Female,4.18,2.72,3,1.13,2.15,1.78,Phoenix,1,18-25,0.270334928,0.425837321,0.514354067,Productivity User
197,49,Male,2.2,8.71,24,3.46,0.37,2.24,New York,0,46+,1.572727273,1.018181818,0.168181818,Social User
198,21,Male,8.16,8.79,8,1.17,0.53,4.83,Chicago,0,18-25,0.143382353,0.591911765,0.06495098,Gamer
199,28,Male,9.42,5.59,18,3.13,4.19,1.89,New York,1,26-35,0.332271762,0.200636943,0.444798301,Productivity User
200,34,Female,11.18,6.96,29,3.74,1.2,1.29,Los Angeles,1,26-35,0.334525939,0.115384615,0.107334526,Social User
201,55,Female,5.82,1.49,22,1.09,0.97,1.22,New York,1,46+,0.187285223,0.209621993,0.166666667,Gamer
202,41,Female,10.92,10.7,14,0.3,2.52,2.29,Chicago,1,36-45,0.027472527,0.20970696,0.230769231,Productivity User
203,22,Male,10.66,8.14,13,0.65,3.84,3.8,Houston,1,18-25,0.06097561,0.356472795,0.360225141,Productivity User
204,51,Male,4.49,1.75,29,3.03,0.31,1.03,New York,1,46+,0.674832962,0.229398664,0.069042316,Social User
205,23,Female,10.56,9.85,12,4.25,2.88,3.55,New York,1,18-25,0.402462121,0.336174242,0.272727273,Social User
206,39,Male,5.13,7.07,5,0.22,0.6,0.11,New York,0,36-45,0.04288499,0.021442495,0.116959064,Productivity User
207,28,Male,4.27,1.45,15,3.67,0.18,2.09,New York,1,26-35,0.859484778,0.489461358,0.042154567,Social User
208,33,Male,8.14,13.6,29,1.71,0.26,3.88,Chicago,0,26-35,0.21007371,0.476658477,0.031941032,Gamer
209,50,Male,4.61,13.34,5,2.39,4.17,1.69,Phoenix,0,46+,0.518438178,0.36659436,0.904555315,Productivity User
210,26,Female,7.93,7.67,17,4.64,0.59,2.82,Phoenix,1,26-35,0.585119798,0.355611602,0.074401009,Social User
211,23,Male,7.71,2.22,18,1.66,0.23,1.02,New York,1,18-25,0.215304799,0.13229572,0.029831388,Social User
212,33,Male,7.2,10.81,15,2.33,2.19,3.71,Chicago,0,26-35,0.323611111,0.515277778,0.304166667,Gamer
213,46,Male,5.18,7.4,19,0.07,4.22,0.26,Chicago,0,46+,0.013513514,0.05019305,0.814671815,Productivity User
214,20,Male,7.03,4.93,5,0.41,1.31,4.26,New York,1,18-25,0.058321479,0.605974395,0.186344239,Gamer
215,37,Female,7.56,7.39,22,1.29,2.11,0.99,Los Angeles,1,36-45,0.170634921,0.130952381,0.279100529,Productivity User
216,53,Female,7,7.79,13,0.14,0.2,4.37,New York,0,46+,0.02,0.624285714,0.028571429,Gamer
217,36,Male,5.89,8.32,29,3.16,2.25,1.76,Los Angeles,0,36-45,0.536502547,0.298811545,0.382003396,Social User
218,43,Male,1.16,6.74,23,2.13,2.89,3.61,New York,0,36-45,1.836206897,3.112068966,2.49137931,Gamer
219,20,Male,7.46,8.87,21,2.74,2.85,1.6,Los Angeles,0,18-25,0.367292225,0.214477212,0.382037534,Productivity User
220,36,Male,2.85,12.94,24,0.87,1.66,4.53,Los Angeles,0,36-45,0.305263158,1.589473684,0.58245614,Gamer
